name,author,publisher,listprice,price,page,isbn10
항생제 스타터-ANTIBIOTICS STARTER,안상현,대한의학서적,25000,23750,241,1155900855
마케팅원론,안광호,학현사,35000,35000,568,8958534397
웩슬러 지능검사의 치료 및 교육적 활용,노경란,학지사,16000,15200,214,8999714314
문과생도 이해하는 전기전자수학,야마시타 아키라,한빛아카데미,20000,20000,352,1156643287
마음챙김 명상과 자기치유 (하),존 카밧진,학지사,15000,15000,,9788999708824
미적분학 1+,김홍종,서울대학교출판문화원,18000,18000,456,8952117875
"비언어성 학습장애, 아스퍼거증후군 ",신석호,시그마프레스,12000,11640,,9788968666452
나는 사랑의 처형자가 되기 싫다,Irvin D. Yalom,시그마프레스,18000,17460,456,8968661200
표준중세 국어문법론,고영근,집문당,25000,25000,497,8930314783
수학 없는 기초 물리,PAUL G.HEWITT,홍릉과학출판사,25000,25000,363,8972838772
오리엔탈리즘,에드워드 사이드,교보문고,25000,25000,727,8970858008
로르샤하 종합체계 워크북,존 엑스너,학지사,18000,17460,399,8958913045
토양학,김계훈,향문사,43000,43000,471,8971872128
리틀 몬스터,Robert Jergen,학지사,9900,8910,333,8958911379
2020 Pacific Tank Manual 1 성인간호학 1,퍼시픽학술국,퍼시픽북스,18000,17100,421,1163750204
부부 및 가족상담,한재희,학지사,22000,21340,405,8999716139
과학으로 풀어 쓴 식품과 조리원리,이주희,교문사,24000,24000,472,8936318306
2020 간호사국가시험 핵심문제집 보건의약관계법규,한국간호과학회,한국간호과학회,15000,15000,,8993593477
수용자를 위한 감옥법령집,천주교인권위원회,경계,39000,35100,724,8996940372
심리학의 이해,윤가현,학지사,22000,21340,552,8999717607
부모교육,정옥분,학지사,22000,21340,,9788999718519
존 듀이의 경험과 교육,존 듀이,박영스토리,10000,10000,230,1189643952
아동관찰 및 행동연구,황해익,공동체,18000,18000,,9791161054308
영유아기관 운영과 관리,김혜경,창지사,20000,20000,,894261180X
학교폭력 예방과 학생의 이해,조남두,동문사,20000,20000,384,1163280496
기초전자기학,김진승,북스힐,32000,32000,648,1159711801
ICU 중환자간호 매뉴얼,한국중환자간호학회,포널스출판사,20000,20000,488,1157468195
7 Days만에 끝내는 간호사 국가고시 총 2065문제,김명애,에듀피디(EDUPD),29000,26100,504,1155862929
쉽게 배우는 JSP 웹 프로그래밍,송미영,한빛아카데미,27000,27000,636,1156643384
형법각론,김성돈,성균관대학교출판부(SKKUP),36000,36000,,9791155502877
재무제표분석과 기업가치평가,백복현,(주)박영사,29000,29000,576,1130305910
